year,Amanda,Betty,Deborah,Dorothy,Helen
1880,241,117,12,112,636
1881,263,112,14,109,612
1882,288,123,15,115,838
1883,287,120,16,141,862
1884,337,144,13,163,986
1885,339,155,10,196,1134
1886,370,167,10,230,1267
1887,338,178,15,272,1405
1888,404,214,26,373,1847
1889,413,189,12,377,1909
1890,392,216,24,458,2312
1891,371,239,15,566,2417
1892,455,255,16,626,2936
1893,387,298,24,821,3249
1894,418,298,18,1052,3676
1895,431,350,13,1127,4023
1896,367,342,18,1366,4392
1897,354,367,23,1472,4519
1898,371,421,21,1671,5230
1899,326,410,11,1687,5048
1900,377,664,26,2491,6343
1901,317,474,21,2173,5247
1902,301,580,21,2707,5967
1903,247,596,21,3078,6129
1904,294,707,23,3477,6488
1905,311,807,18,3937,6811
1906,260,865,25,4326,7176
1907,285,1018,21,4967,7579
1908,260,1128,25,5703,8439
1909,271,1082,26,6253,9250
1910,278,1389,33,7318,10479
1911,280,1456,36,8869,11802
1912,310,2011,32,12645,16133
1913,346,2239,42,14674,18889
1914,375,2933,62,18782,23221
1915,412,4182,106,25154,30866
1916,421,5136,90,27415,32661
1917,445,6639,89,28853,34249
1918,397,8802,92,32034,36150
1919,379,10107,70,31734,33705
1920,379,14017,82,36645,35098
1921,392,17637,94,39083,34819
1922,341,20893,71,37711,32507
1923,362,25990,118,39045,31492
1924,341,30602,125,39996,31193
1925,310,32817,82,38572,29168
1926,310,32959,116,36614,26884
1927,234,35422,91,35987,25316
1928,247,36078,130,33728,22936
1929,209,36669,161,31477,20983
1930,196,38239,165,30404,19914
1931,209,36102,158,26521,17657
1932,213,34411,208,24968,16375
1933,199,31526,243,22050,14645
1934,189,31078,280,21280,14099
1935,211,28673,279,19400,12778
1936,192,25863,299,17668,12232
1937,176,25328,323,16571,11452
1938,192,25502,410,16348,10833
1939,185,23639,443,15170,10417
1940,218,22074,469,14874,10201
1941,223,20900,608,14561,9889
1942,295,21654,676,15032,10013
1943,284,21595,788,14785,9799
1944,238,19757,1293,13378,8693
1945,280,18383,1464,12328,8300
1946,274,19714,2470,12796,8852
1947,310,18962,5838,12751,8978
1948,306,16622,11246,11326,8305
1949,333,14946,19208,10406,7709
1950,379,13614,29073,9555,7060
1951,409,12820,42045,9082,6945
1952,418,12125,49809,8608,6470
1953,428,11367,52196,8154,6120
1954,428,10615,54674,7791,5940
1955,452,9928,52314,7241,5596
1956,643,9213,47829,6862,5279
1957,667,8474,40065,6401,5015
1958,796,7709,32936,5539,4763
1959,858,7317,29552,5238,4378
1960,977,6503,25269,5077,4069
1961,1057,5580,24092,4726,3855
1962,948,4765,22893,4075,3587
1963,1035,4154,21062,3791,3340
1964,1275,4067,19306,3535,3095
1965,1650,3565,17083,2960,2804
1966,2329,2948,16250,2667,2449
1967,2663,2543,14007,2316,2153
1968,2430,2134,12286,2084,1881
1969,2817,2133,11186,1778,1857
1970,3550,1967,9853,1802,1715
1971,4133,1763,8675,1626,1441
1972,4181,1366,6279,1277,1245
1973,5627,1323,4984,1175,1133
1974,7476,1130,4345,1100,1140
1975,12653,1021,3415,975,1057
1976,15591,908,2994,983,942
1977,18280,807,2677,934,992
1978,20522,715,2479,913,922
1979,31927,711,2181,889,879
1980,35819,658,1938,895,909
1981,34373,662,1905,787,896
1982,34210,635,1842,828,875
1983,33754,563,1605,759,844
1984,33906,503,1468,682,859
1985,39050,502,1401,719,809
1986,40522,407,1284,629,766
1987,41786,435,1203,614,815
1988,39451,395,1056,608,775
1989,36827,399,1076,620,857
1990,34405,406,1094,596,861
1991,28887,345,1014,498,773
1992,25034,296,919,508,827
1993,20809,292,797,476,868
1994,18715,275,740,442,848
1995,16345,234,660,376,837
1996,13973,217,633,350,900
1997,12239,189,638,315,812
1998,10908,194,553,312,832
1999,9741,182,524,335,841
2000,8550,174,545,312,890
2001,6963,153,489,317,884
2002,6132,127,474,263,875
2003,5339,142,421,291,783
2004,4677,136,427,288,860
2005,4088,132,425,234,960
2006,3355,135,423,265,948
2007,3038,134,371,262,931
2008,2439,137,355,242,884
2009,1952,148,346,226,826
2010,1655,132,354,240,703
2011,1409,167,332,276,729
2012,1228,140,336,277,772
2013,1064,174,329,334,738
2014,1048,193,369,382,801
2015,1013,186,346,395,757
