year,Renewable Electricity (VPPA or other),SAF Biofuel,Building and production equip. electrification,Vehicle electrification,Scope 3 engagement
2021,0,0,0,0,35700
2022,11301,13561,0,0,35700
2023,11866,14239,2326,0,35700
2024,0,14951,2198,3663,35700
2025,0,15698,2077,3269,35700
2026,0,16483,1963,2918,35700
2027,0,17307,1855,2604,35700
2028,0,18173,1753,2324,35700
2029,0,19081,1656,2074,35700
2030,0,20035,1565,1851,35700
2031,0,21037,1479,1652,35700
2032,0,22089,1398,1475,35700
2033,0,23193,1321,1316,35700
2034,0,24353,1248,1175,35700
2035,0,25571,1180,1048,35700
