year,Air Travel,Coporate,Electricity Use,Employee Commuting,Fuel Use
2021,5000,700,8000,12000,10000
2022,9301,7561,5000,3000,35700
2023,11866,14239,2326,0,35700
2024,7000,7951,2198,3663,35700
2025,10000,15698,2077,3269,25700
2026,5700,16483,1963,2918,30000
2027,10700,17307,1855,2604,25000
2028,13000,10173,1753,2324,30700
2029,9000,10081,1656,2074,35700
2030,10000,10035,1565,1851,35700
2031,15000,21037,1479,1652,20700
2032,5700,22089,1398,1475,30000
2033,20000,23193,1321,1316,15700
2034,9000,20353,1248,1175,30700
2035,10700,20571,1180,1048,30000
