Type,Date,Value
BAU,2021,817950
BAU,2022,858848
BAU,2023,901790
BAU,2024,946879
BAU,2025,994223
BAU,2026,1043935
BAU,2027,1096131
BAU,2028,1150938
BAU,2029,1208485
BAU,2030,1268909
BAU,2031,1332354
BAU,2032,1398972
BAU,2033,1468921
BAU,2034,1542367
BAU,2035,1619485
BAU,2036,1687716.9
BAU,2037,1759482.6
SBT,2021,871699
SBT,2022,834735
SBT,2023,799147
SBT,2024,764877
SBT,2025,731871
SBT,2026,700074
SBT,2027,669436
SBT,2028,639908
SBT,2029,611444
SBT,2030,584000
SBT,2031,557531
SBT,2032,531998
SBT,2033,507361
SBT,2034,483582
SBT,2035,460626
SBT,2036,434514.2667
SBT,2037,409847.0095
