date,Energy Efficiency,Renewables,Electrification,Scope 3 Engagement,Offsets,Carbon comp
2021,0,0,0,,0,0
2022,0,9000,0,58548,0,779000
2023,0,20300,0,71400,0,746550
2024,54244,45204,0,78540,0,680860
2025,66260,94924,0,94248,0,646358
2026,78364,99672,14652,122522,0,631669
2027,90588,104656,28460,140901,0,629618
2028,102968,109888,41556,162036,0,627487
2029,115532,115384,54048,194443,0,616724
2030,128324,121152,66048,223610,0,611804
2031,141360,127208,77648,268331,0,593938
2032,154692,133568,88936,321998,0,569715
2033,168344,140248,99992,386397,0,537373
2034,182352,147260,110888,463677,0,494795
2035,196752,154624,121700,556412,0,439433
2036,211584,162356,132480,667694,0,368253
2037,226880,170472,143300,801233,0,277600
