scope,emissions_category,emissions_source,sub_activity,activity,sub_bu,last_bu,bu,value
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,17.5940923
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,17.7594624
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,113.105298
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,113.491855
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,118.723461
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,15.8297948
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,199.838493
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,26.6451324
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,1260.8426
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,168.112347
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,390.792101
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,390.837598
Scope 3,Upstream Losses,Electricity - Corporate,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,7.21920981
Scope 3,Upstream Losses,Natural Gas - Corporate,Other,Fuel Use,Facilities,Corp. Facilities,Corporate Operations,18.0047489
Scope 1,Fugitive,Refrigerant,Refrigerant Leakage,Refrigerant Leakage,Facilities,Corp. Facilities,Corporate Operations,58.7398408
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,69.5688813
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,73.5669647
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,3113.92641
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,128.58098
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,194.47428
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,812.4512
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,6059.42615
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,9164.67224
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,1193.42027
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,2416.18351
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,273.363828
Scope 3,Purchased Goods and Services,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,932.062761
Scope 3,Transportation and Distribution,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,11584.2086
Scope 3,Purchased Goods and Services,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,485.70738
Scope 3,Transportation and Distribution,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,54.83793
Scope 3,Purchased Goods and Services,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,488.600952
Scope 3,Transportation and Distribution,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,6072.61183
Scope 3,Purchased Goods and Services,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,2738.56384
Scope 3,Transportation and Distribution,Expenses - Production,Wardrobe,Production Self Mng,PG&S,Self Mng. PG&S,Production,34036.4363
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,780.497256
