date,title,type,category
"Dec 10, 2020",Providing an Order of Succession Within the Department of Defense,Executive Orders,National security
"Dec 10, 2020",Rebranding United States Foreign Assistance To Advance American Influence,Executive Orders,National security
"Dec 8, 2020",Ensuring Access to United States Government COVID-19 Vaccines,Executive Orders,Health care
"Dec 7, 2020",Governance and Integration of Federal Mission Resilience,Executive Orders,National security
"Dec 3, 2020",Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,Executive Orders,Tech
"Nov 12, 2020",Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,Executive Orders,National security
"Nov 2, 2020",Establishing the President's Advisory 1776 Commission,Executive Orders,Events
"Oct 21, 2020",Creating Schedule F in the Excepted Service,Executive Orders,Labor/Immigration
"Oct 13, 2020",Establishing the One Trillion Trees Interagency Council,Executive Orders,Energy
"Oct 13, 2020",Modernizing America's Water Resource Management and Water Infrastructure,Executive Orders,Energy
"Oct 3, 2020",Saving Lives Through Increased Support for Mental- and Behavioral-Health Needs,Executive Orders,Health care
"Sep 30, 2020",Addressing the Threat to the Domestic Supply Chain From Reliance on Critical Minerals From Foreign Adversaries and Supporting the Domestic Mining and Processing Industries,Executive Orders,Economy
"Sep 25, 2020",Protecting Vulnerable Newborn and Infant Children,Executive Orders,Health care
"Sep 24, 2020",An America-First Healthcare Plan,Executive Orders,Health care
"Sep 22, 2020",Combating Race and Sex Stereotyping,Executive Orders,Events
"Sep 21, 2020",Blocking Property of Certain Persons With Respect to the Conventional Arms Activities of Iran,Executive Orders,National security
"Sep 13, 2020",Lowering Drug Prices by Putting America First,Executive Orders,Health care
"Aug 8, 2020",Fighting the Spread of COVID-19 by Providing Assistance to Renters and Homeowners,Executive Orders,Economy
"Aug 6, 2020","Addressing the Threat Posed by TikTok, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain",Executive Orders,Tech
"Aug 6, 2020","Addressing the Threat Posed by WeChat, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain",Executive Orders,Tech
"Aug 6, 2020","Combating Public Health Emergencies and Strengthening National Security by Ensuring Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States",Executive Orders,Health care
"Aug 3, 2020",Aligning Federal Contracting and Hiring Practices With the Interests of American Workers,Executive Orders,Labor/Immigration
"Aug 3, 2020",Improving Rural Health and Telehealth Access,Executive Orders,Health care
"Jul 24, 2020",Access to Affordable Life-Saving Medications,Executive Orders,Health care
"Jul 24, 2020",Increasing Drug Importation To Lower Prices for American Patients,Executive Orders,Health care
"Jul 24, 2020",Lowering Prices for Patients by Eliminating Kickbacks to Middlemen,Executive Orders,Health care
"Jul 24, 2020",Lowering Drug Prices by Putting America First,Executive Orders,Health care
"Jul 14, 2020",The President's Executive Order on Hong Kong Normalization,Executive Orders,National security
"Jul 9, 2020",White House Hispanic Prosperity Initiative,Executive Orders,Economy
"Jul 3, 2020",Building and Rebuilding Monuments to American Heroes,Executive Orders,Criminal justice
"Jun 26, 2020",Continuing the President's National Council for the American Worker and the American Workforce Policy Advisory Board,Executive Orders,Labor/Immigration
"Jun 26, 2020",Modernizing and Reforming the Assessment and Hiring of Federal Job Candidates,Executive Orders,Labor/Immigration
"Jun 26, 2020","Protecting American Monuments, Memorials, and Statues and Combating Recent Criminal Violence",Executive Orders,Criminal justice
"Jun 24, 2020",Strengthening the Child Welfare System for America's Children,Executive Orders,Health care
"Jun 16, 2020",Safe Policing for Safe Communities,Executive Orders,Criminal justice
"Jun 11, 2020",Blocking Property of Certain Persons Associated With the International Criminal Court,Executive Orders,Criminal justice
"Jun 4, 2020",Accelerating the Nation's Economic Recovery From the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities,Executive Orders,Economy
"Jun 2, 2020",Advancing International Religious Freedom,Executive Orders,Events
"May 28, 2020",Preventing Online Censorship,Executive Orders,Tech
"May 19, 2020",Regulatory Relief To Support Economic Recovery,Executive Orders,Economy
"May 15, 2020",Establishment of the Forced Labor Enforcement Task Force Under Section 741 of the United States-Mexico-Canada Agreement Implementation Act,Executive Orders,Labor/Immigration
"May 14, 2020",Delegating Authority Under the Defense Production Act of 1950 to the Chief Executive Officer of the United States International Development Finance Corporation To Respond to the COVID-19 Outbreak,Executive Orders,Economy
"May 7, 2020",Promoting American Seafood Competitiveness and Economic Growth,Executive Orders,Economy
"May 1, 2020",Securing the United States Bulk-Power System,Executive Orders,Economy
"Apr 30, 2020",Ordering the Selected Reserve of the Armed Forces to Active Duty,Executive Orders,National security
"Apr 28, 2020",Delegating Authority Under the Defense Production Act of 1950 With Respect to Food Supply Chain Resources During the National Emergency Caused by the Outbreak of COVID-19,Executive Orders,Economy
"Apr 28, 2020",Establishment of the Interagency Labor Committee for Monitoring and Enforcement Under Section 711 of the United States-Mexico-Canada Agreement Implementation Act,Executive Orders,Labor/Immigration
"Apr 18, 2020",National Emergency Authority To Temporarily Extend Deadlines for Certain Estimated Payments,Executive Orders,Economy
"Apr 14, 2020",Providing an Order of Succession Within the Department of the Interior,Executive Orders,Administrative work
"Apr 6, 2020",Encouraging International Support for the Recovery and Use of Space Resources,Executive Orders,Energy
"Apr 4, 2020",Establishing the Committee for the Assessment of Foreign Participation in the United States Telecommunications Services Sector,Executive Orders,National security
"Mar 27, 2020",Delegating Additional Authority Under the Defense Production Act of 1950 With Respect to Health and Medical Resources To Respond to the Spread of COVID–19,Executive Orders,Health care
"Mar 27, 2020",National Emergency Authority To Order the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,Executive Orders,National security
"Mar 23, 2020",Preventing Hoarding of Health and Medical Resources To Respond to the Spread of COVID–19,Executive Orders,Health care
"Mar 18, 2020",Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of COVID–19,Executive Orders,Health care
"Feb 13, 2020",Amending Executive Order 13803—Reviving the National Space Council,Executive Orders,National security
"Feb 12, 2020","Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services",Executive Orders,Tech
"Jan 31, 2020",Combating Human Trafficking and Online Child Exploitation in the United States,Executive Orders,Criminal justice
"Jan 31, 2020","Ensuring Safe and Lawful E-Commerce for United States Consumers, Businesses, Government Supply Chains, and Intellectual Property Rights",Executive Orders,Tech
"Jan 10, 2020",Imposing Sanctions With Respect to Additional Sectors of Iran,Executive Orders,National security
"Dec 26, 2019",Adjustments of Certain Rates of Pay,Executive Orders,Labor/Immigration
"Dec 17, 2019","Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019",Executive Orders,Administrative work
"Dec 11, 2019",Combating Anti-Semitism,Executive Orders,Events
"Nov 26, 2019",Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Executive Orders,Criminal justice
"Oct 31, 2019",Improving Federal Contractor Operations by Revoking Executive Order 13495,Executive Orders,Labor/Immigration
"Oct 28, 2019",Commission on Law Enforcement and the Administration of Justice,Executive Orders,Criminal justice
"Oct 22, 2019",President's Council of Advisors on Science and Technology,Executive Orders,Tech
"Oct 14, 2019",Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria,Executive Orders,National security
"Oct 10, 2019",Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,Executive Orders,Economy
"Oct 9, 2019",Promoting the Rule of Law Through Improved Agency Guidance Documents,Executive Orders,Administrative work
