date,title,president,type,category,Category ideas?
12-10-2020,Providing an Order of Succession Within the Department of Defense,,Executive Orders,National security,Labor/Immigration
12-10-2020,Rebranding United States Foreign Assistance To Advance American Influence,,Executive Orders,National security,Energy/Environment
12-08-2020,Ensuring Access to United States Government COVID-19 Vaccines,,Executive Orders,Health care,Economy
12-07-2020,Governance and Integration of Federal Mission Resilience,,Executive Orders,National security,Tech/Cyber
12-03-2020,Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,,Executive Orders,Tech,National Security/Military/Foreign Policy
11-12-2020,Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,,Executive Orders,National security,Criminal justice 
11-02-2020,Establishing the President's Advisory 1776 Commission,,Executive Orders,Events,Events/Culture 
10-21-2020,Creating Schedule F in the Excepted Service,,Executive Orders,Labor,Administrative work
10-13-2020,Establishing the One Trillion Trees Interagency Council,Donald J. Trump,Executive Orders,Energy,
10-13-2020,Modernizing America's Water Resource Management and Water Infrastructure,Donald J. Trump,Executive Orders,Energy,
10-03-2020,Saving Lives Through Increased Support for Mental- and Behavioral-Health Needs,Donald J. Trump,Executive Orders,Health care,
09-30-2020,Addressing the Threat to the Domestic Supply Chain From Reliance on Critical Minerals From Foreign Adversaries and Supporting the Domestic Mining and Processing Industries,Donald J. Trump,Executive Orders,Economy,
09-25-2020,Protecting Vulnerable Newborn and Infant Children,Donald J. Trump,Executive Orders,Health care,
09-24-2020,An America-First Healthcare Plan,Donald J. Trump,Executive Orders,Health care,
09-22-2020,Combating Race and Sex Stereotyping,Donald J. Trump,Executive Orders,Events,
09-21-2020,Blocking Property of Certain Persons With Respect to the Conventional Arms Activities of Iran,Donald J. Trump,Executive Orders,National security,
09-13-2020,Lowering Drug Prices by Putting America First,Donald J. Trump,Executive Orders,Health care,
08-08-2020,Fighting the Spread of COVID-19 by Providing Assistance to Renters and Homeowners,Donald J. Trump,Executive Orders,Economy,
08-06-2020,"Addressing the Threat Posed by TikTok, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain",Donald J. Trump,Executive Orders,Tech,
08-06-2020,"Addressing the Threat Posed by WeChat, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain",Donald J. Trump,Executive Orders,Tech,
08-06-2020,"Combating Public Health Emergencies and Strengthening National Security by Ensuring Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States",Donald J. Trump,Executive Orders,Health care,
08-03-2020,Aligning Federal Contracting and Hiring Practices With the Interests of American Workers,Donald J. Trump,Executive Orders,Labor,
08-03-2020,Improving Rural Health and Telehealth Access,Donald J. Trump,Executive Orders,Health care,
07-24-2020,Access to Affordable Life-Saving Medications,Donald J. Trump,Executive Orders,Health care,
07-24-2020,Increasing Drug Importation To Lower Prices for American Patients,Donald J. Trump,Executive Orders,Health care,
07-24-2020,Lowering Prices for Patients by Eliminating Kickbacks to Middlemen,Donald J. Trump,Executive Orders,Health care,
07-24-2020,Lowering Drug Prices by Putting America First,Donald J. Trump,Executive Orders,Health care,
07-14-2020,The President's Executive Order on Hong Kong Normalization,Donald J. Trump,Executive Orders,National security,
07-09-2020,White House Hispanic Prosperity Initiative,Donald J. Trump,Executive Orders,Economy,
07-03-2020,Building and Rebuilding Monuments to American Heroes,Donald J. Trump,Executive Orders,Criminal justice,
06-26-2020,Continuing the President's National Council for the American Worker and the American Workforce Policy Advisory Board,Donald J. Trump,Executive Orders,Labor,
06-26-2020,Modernizing and Reforming the Assessment and Hiring of Federal Job Candidates,Donald J. Trump,Executive Orders,Labor,
06-26-2020,"Protecting American Monuments, Memorials, and Statues and Combating Recent Criminal Violence",Donald J. Trump,Executive Orders,Criminal justice,
06-24-2020,Strengthening the Child Welfare System for America's Children,Donald J. Trump,Executive Orders,Health care,
06-16-2020,Safe Policing for Safe Communities,Donald J. Trump,Executive Orders,Criminal justice,
06-11-2020,Blocking Property of Certain Persons Associated With the International Criminal Court,Donald J. Trump,Executive Orders,Criminal justice,
06-04-2020,Accelerating the Nation's Economic Recovery From the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities,Donald J. Trump,Executive Orders,Economy,
06-02-2020,Advancing International Religious Freedom,Donald J. Trump,Executive Orders,Events,
05-28-2020,Preventing Online Censorship,Donald J. Trump,Executive Orders,Tech,
05-19-2020,Regulatory Relief To Support Economic Recovery,Donald J. Trump,Executive Orders,Economy,
05-15-2020,Establishment of the Forced Labor Enforcement Task Force Under Section 741 of the United States-Mexico-Canada Agreement Implementation Act,Donald J. Trump,Executive Orders,Labor,
05-14-2020,Delegating Authority Under the Defense Production Act of 1950 to the Chief Executive Officer of the United States International Development Finance Corporation To Respond to the COVID-19 Outbreak,Donald J. Trump,Executive Orders,Economy,
05-07-2020,Promoting American Seafood Competitiveness and Economic Growth,Donald J. Trump,Executive Orders,Economy,
05-01-2020,Securing the United States Bulk-Power System,Donald J. Trump,Executive Orders,Economy,
04-30-2020,Ordering the Selected Reserve of the Armed Forces to Active Duty,Donald J. Trump,Executive Orders,National security,
04-28-2020,Delegating Authority Under the Defense Production Act of 1950 With Respect to Food Supply Chain Resources During the National Emergency Caused by the Outbreak of COVID-19,Donald J. Trump,Executive Orders,Economy,
04-28-2020,Establishment of the Interagency Labor Committee for Monitoring and Enforcement Under Section 711 of the United States-Mexico-Canada Agreement Implementation Act,Donald J. Trump,Executive Orders,Labor,
04-18-2020,National Emergency Authority To Temporarily Extend Deadlines for Certain Estimated Payments,Donald J. Trump,Executive Orders,Economy,
04-14-2020,Providing an Order of Succession Within the Department of the Interior,Donald J. Trump,Executive Orders,Administrative work,
04-06-2020,Encouraging International Support for the Recovery and Use of Space Resources,Donald J. Trump,Executive Orders,Energy,
04-04-2020,Establishing the Committee for the Assessment of Foreign Participation in the United States Telecommunications Services Sector,Donald J. Trump,Executive Orders,National security,
03-27-2020,Delegating Additional Authority Under the Defense Production Act of 1950 With Respect to Health and Medical Resources To Respond to the Spread of COVID–19,Donald J. Trump,Executive Orders,Health care,
03-27-2020,National Emergency Authority To Order the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,Donald J. Trump,Executive Orders,National security,
03-23-2020,Preventing Hoarding of Health and Medical Resources To Respond to the Spread of COVID–19,Donald J. Trump,Executive Orders,Health care,
03-18-2020,Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of COVID–19,Donald J. Trump,Executive Orders,Health care,
02-13-2020,Amending Executive Order 13803—Reviving the National Space Council,Donald J. Trump,Executive Orders,National security,
02-12-2020,"Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services",Donald J. Trump,Executive Orders,Tech,
01-31-2020,Combating Human Trafficking and Online Child Exploitation in the United States,Donald J. Trump,Executive Orders,Criminal justice,
