country,countryCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,181,174.2,167.8,162,156.8,152.3,148.6,145.5,142.6,139.9,137,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1
Albania,ALB,40.6,38.8,37.3,36,34.6,33.2,31.8,30.3,28.9,27.5,26.2,24.9,23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14
Algeria,DZA,46.8,45.7,44.9,44.1,43.3,42.5,41.8,41.1,40.6,40.2,39.7,38.9,37.8,36.5,35.1,33.6,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5
Andorra,AND,8.5,7.9,7.4,6.9,6.4,6,5.7,5.3,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8
Angola,AGO,226,225.9,226,225.8,225.5,224.8,224,222.6,220.8,218.9,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Antigua and Barbuda,ATG,25.5,24.2,23.1,21.9,20.8,19.7,18.8,17.9,17,16.2,15.5,14.8,14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1
Argentina,ARG,27.6,26.6,25.7,24.8,24.1,23.4,22.7,22,21.4,20.8,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5
Armenia,ARM,49.8,47.5,45.2,42.9,40.8,38.7,36.8,35,33.3,31.7,30.1,28.7,27.3,25.9,24.6,23.4,22.2,21.1,20,19,18,17.2,16.3,15.5,14.7,14.1
Australia,AUS,9.2,8.6,8.1,7.7,7.3,7,6.8,6.6,6.5,6.4,6.2,6.1,6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8
Austria,AUT,9.5,9,8.5,8,7.4,6.8,6.4,6.1,5.8,5.6,5.5,5.4,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5
Azerbaijan,AZE,94.7,95,95.4,95.7,95.5,94.3,92.1,88.6,84.2,79.3,74,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7
Bahamas,BHS,23.5,22.5,21.6,20.6,19.6,18.7,17.8,17,16.4,15.9,15.7,15.5,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1
Bahrain,BHR,23,22.7,22,21,19.6,18.1,16.6,15.2,14.1,13.2,12.6,12.1,11.8,11.5,11.2,10.9,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2
Bangladesh,BGD,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88,83.5,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6
