ShortName,youthLiteracyRate,under5Mortality,country,adolescentFertilityRate,ISO3,LongName,Region
Afghanistan,32,96.7,Afghanistan,82.2638,AFG,Islamic State of Afghanistan,South Asia
Albania,99,14.9,Albania,21.1438,ALB,Republic of Albania,Europe & Central Asia
Algeria,89,25.8,Algeria,11.1112,DZA,People's Democratic Republic of Algeria,Middle East & North Africa
Angola,66,167.1,Angola,171.2734,AGO,People's Republic of Angola,Sub-Saharan Africa
Argentina,99,13.3,Argentina,63.9136,ARG,Argentine Republic,Latin America & Caribbean
Armenia,100,15.5,Armenia,24.5562,ARM,Republic of Armenia,Europe & Central Asia
Azerbaijan,100,34.2,Azerbaijan,56.1272,AZE,Republic of Azerbaijan,Europe & Central Asia
Bahrain,98,6.9,Bahrain,13.6638,BHR,Kingdom of Bahrain,Middle East & North Africa
Bangladesh,82,41.6,Bangladesh,84.43,BGD,People's Republic of Bangladesh,South Asia
Belarus,100,5,Belarus,20.129,BLR,Republic of Belarus,Europe & Central Asia
Benin,31,104.8,Benin,87.405,BEN,Republic of Benin,Sub-Saharan Africa
Bhutan,68,36,Bhutan,25.209,BTN,Kingdom of Bhutan,South Asia
Bolivia,99,41.3,Bolivia,71.863,BOL,Plurinational State of Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,100,6.1,Bosnia and Herzegovina,10.0562,BIH,Bosnia and Herzegovina,Europe & Central Asia
Botswana,98,46.6,Botswana,36.3236,BWA,Republic of Botswana,Sub-Saharan Africa
Brazil,99,16,Brazil,67.8778,BRA,Federative Republic of Brazil,Latin America & Caribbean
Brunei,100,9.9,Brunei Darussalam,21.4452,BRN,Brunei Darussalam,East Asia & Pacific
Bulgaria,98,11.5,Bulgaria,40.3382,BGR,Republic of Bulgaria,Europe & Central Asia
Burkina Faso,33,96.6,Burkina Faso,112.6558,BFA,Burkina Faso,Sub-Saharan Africa
Burundi,88,87.8,Burundi,29.4556,BDI,Republic of Burundi,Sub-Saharan Africa
Cabo Verde,98,25.9,Cabo Verde,74.1528,CPV,Republic of Cabo Verde,Sub-Saharan Africa
Cambodia,86,32.9,Cambodia,49.9346,KHM,Kingdom of Cambodia,East Asia & Pacific
Cameroon,76,93.9,Cameroon,111.346,CMR,Republic of Cameroon,Sub-Saharan Africa
Central African Republic,27,138.5,Central African Republic,95.7756,CAF,Central African Republic,Sub-Saharan Africa
Chad,44,147.1,Chad,144.594,TCD,Republic of Chad,Sub-Saharan Africa
Chile,99,8.4,Chile,48.7144,CHL,Republic of Chile,Latin America & Caribbean
China,100,12.3,China,7.4344,CHN,People's Republic of China,East Asia & Pacific
Colombia,99,16.9,Colombia,54.6654,COL,Republic of Colombia,Latin America & Caribbean
Comoros,87,78.3,Comoros,71.9988,COM,Union of the Comoros,Sub-Saharan Africa
Dem. Rep. Congo,53,49.6,"Congo, Dem. Rep.",123.6202,COD,Democratic Republic of the Congo,Sub-Saharan Africa
Congo,77,104.8,"Congo, Rep.",122.346,COG,Republic of Congo,Sub-Saharan Africa
Costa Rica,99,10,Costa Rica,58.0514,CRI,Republic of Costa Rica,Latin America & Caribbean
Cote d'Ivoire,39,99,Cote d'Ivoire,135.302,CIV,Republic of C_te d'Ivoire,Sub-Saharan Africa
Croatia,100,4.7,Croatia,10.68,HRV,Republic of Croatia,Europe & Central Asia
Cuba,100,5.7,Cuba,47.2252,CUB,Republic of Cuba,Latin America & Caribbean
Cyprus,100,3,Cyprus,5.2794,CYP,Republic of Cyprus,Europe & Central Asia
Dominican Republic,98,32.2,Dominican Republic,99.5292,DOM,Dominican Republic,Latin America & Caribbean
Ecuador,99,23,Ecuador,76.7488,ECU,Republic of Ecuador,Latin America & Caribbean
Egypt,86,25.8,"Egypt, Arab Rep.",53.5396,EGY,Arab Republic of Egypt,Middle East & North Africa
El Salvador,97,18,El Salvador,66.1952,SLV,Republic of El Salvador,Latin America & Caribbean
Equatorial Guinea,99,100.3,Equatorial Guinea,112.0642,GNQ,Republic of Equatorial Guinea,Sub-Saharan Africa
Eritrea,89,49.7,Eritrea,58.3406,ERI,State of Eritrea,Sub-Saharan Africa
Estonia,100,3.5,Estonia,14.8994,EST,Republic of Estonia,Europe & Central Asia
Ethiopia,47,64.6,Ethiopia,63.6274,ETH,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa
Gabon,89,54.8,Gabon,106.708,PYF,Gabonese Republic,Sub-Saharan Africa
The Gambia,66,73.6,"Gambia, The",114.7038,GAB,Republic of The Gambia,Sub-Saharan Africa
Georgia,100,13.4,Georgia,43.9324,GMB,Georgia,Europe & Central Asia
Ghana,83,66.5,Ghana,68.8752,DEU,Republic of Ghana,Sub-Saharan Africa
Greece,99,4.7,Greece,8.1042,GHA,Hellenic Republic,Europe & Central Asia
Guatemala,92,31.1,Guatemala,82.72,GUM,Republic of Guatemala,Latin America & Caribbean
Guinea,22,100.4,Guinea,143.7726,GTM,Republic of Guinea,Sub-Saharan Africa
Guinea-Bissau,69,100.5,Guinea-Bissau,95.2424,GIN,Republic of Guinea-Bissau,Sub-Saharan Africa
Guyana,94,40.8,Guyana,89.2584,GNB,Co-operative Republic of Guyana,Latin America & Caribbean
Haiti,70,73.1,Haiti,40.47,GUY,Republic of Haiti,Latin America & Caribbean
Honduras,96,21.8,Honduras,67.0488,HTI,Republic of Honduras,Latin America & Caribbean
Hungary,99,6.2,Hungary,18.7178,HKG,Hungary,Europe & Central Asia
India,74,52.1,India,28.0568,ISL,Republic of India,South Asia
Indonesia,99,29.3,Indonesia,50.753,IND,Republic of Indonesia,East Asia & Pacific
Iran,98,16.8,"Iran, Islamic Rep.",27.8554,IDN,Islamic Republic of Iran,Middle East & North Africa
Iraq,81,33.9,Iraq,81.6186,IRN,Republic of Iraq,Middle East & North Africa
Israel,99,4.2,Israel,10.8146,IMN,State of Israel,Middle East & North Africa
Italy,100,3.7,Italy,6.2324,ISR,Italian Republic,Europe & Central Asia
Jamaica,99,16.7,Jamaica,62.3322,ITA,Jamaica,Latin America & Caribbean
Jordan,99,19,Jordan,24.8826,JPN,Hashemite Kingdom of Jordan,Middle East & North Africa
Kazakhstan,100,16.4,Kazakhstan,29.981,JOR,Republic of Kazakhstan,Europe & Central Asia
Kenya,82,53.4,Kenya,92.843,KAZ,Republic of Kenya,Sub-Saharan Africa
Dem. People's Rep. Korea,100,27.4,"Korea, Dem. Rep.",0.5994,KIR,Democratic People's Republic of Korea,East Asia & Pacific
Kuwait,99,9.4,Kuwait,10.8486,KSV,State of Kuwait,Middle East & North Africa
Kyrgyz Republic,100,24,Kyrgyz Republic,40.7962,KWT,Kyrgyz Republic,Europe & Central Asia
Lao PDR,79,71.3,Lao PDR,65.348,KGZ,Lao People's Democratic Republic,East Asia & Pacific
Latvia,100,8.4,Latvia,14.669,LAO,Republic of Latvia,Europe & Central Asia
Lebanon,99,8.9,Lebanon,13.1262,LVA,Lebanese Republic,Middle East & North Africa
Lesotho,92,93.6,Lesotho,91.3852,LBN,Kingdom of Lesotho,Sub-Saharan Africa
Liberia,37,76.3,Liberia,113.9902,LSO,Republic of Liberia,Sub-Saharan Africa
Libya,100,14.5,Libya,6.2694,LBR,Socialist People's Libyan Arab Jamahiriya,Middle East & North Africa
Lithuania,100,5.3,Lithuania,12.8092,LIE,Republic of Lithuania,Europe & Central Asia
Madagascar,64,53.4,Madagascar,120.168,MKD,Republic of Madagascar,Sub-Saharan Africa
Malawi,70,71.3,Malawi,138.595,MDG,Republic of Malawi,Sub-Saharan Africa
Malaysia,98,7.5,Malaysia,13.0802,MWI,Malaysia,East Asia & Pacific
Maldives,99,9.9,Maldives,8.338,MYS,Republic of Maldives,South Asia
Mali,39,122.7,Mali,177.1464,MDV,Republic of Mali,Sub-Saharan Africa
Malta,99,6.6,Malta,17.3048,MLI,Republic of Malta,Middle East & North Africa
