Country Name,Country Code,2015
Andorra,AND,2.1
Afghanistan,AFG,66.3
Angola,AGO,96
Albania,ALB,12.5
Arab World,ARB,27.98348511
United Arab Emirates,ARE,5.9
Argentina,ARG,11.1
Armenia,ARM,12.6
Antigua and Barbuda,ATG,5.8
Australia,AUS,3
Austria,AUT,2.9
Azerbaijan,AZE,27.9
Burundi,BDI,54.1
Belgium,BEL,3.3
Benin,BEN,64.2
Burkina Faso,BFA,60.9
Bangladesh,BGD,30.7
Bulgaria,BGR,9.3
Bahrain,BHR,5.3
"Bahamas, The",BHS,9.9
Bosnia and Herzegovina,BIH,5.1
Belarus,BLR,3.4
Belize,BLZ,14.2
Bolivia,BOL,30.6
Brazil,BRA,14.6
Barbados,BRB,12
Brunei Darussalam,BRN,8.6
Bhutan,BTN,27.2
Botswana,BWA,34.8
Central African Republic,CAF,91.5
Canada,CAN,4.3
Central Europe and the Baltics,CEB,5.597553933
Switzerland,CHE,3.4
Chile,CHL,7
China,CHN,9.2
Cote d'Ivoire,CIV,66.6
Cameroon,CMR,57.1
"Congo, Rep.",COG,33.2
Colombia,COL,13.6
Comoros,COM,55.1
Cabo Verde,CPV,20.7
Costa Rica,CRI,8.5
Caribbean small states,CSS,16.76787416
Cuba,CUB,4
Cyprus,CYP,2.5
Czech Republic,CZE,2.8
Germany,DEU,3.1
Djibouti,DJI,54.2
Dominica,DMA,19.6
Denmark,DNK,2.9
Dominican Republic,DOM,25.7
Algeria,DZA,21.9
East Asia & Pacific (developing only),EAP,14.9
East Asia & Pacific (all income levels),EAS,14.18407019
Europe & Central Asia (developing only),ECA,17.8
Europe & Central Asia (all income levels),ECS,9.666804558
Ecuador,ECU,18.4
"Egypt, Arab Rep.",EGY,20.3
Euro area,EMU,3.272240384
Eritrea,ERI,34.1
Spain,ESP,3.5
Estonia,EST,2.3
Ethiopia,ETH,41.4
European Union,EUU,3.71158091
Fragile and conflict affected situations,FCS,55.39801438
Finland,FIN,1.9
Fiji,FJI,19.1
France,FRA,3.5
"Micronesia, Fed. Sts.",FSM,28.6
Gabon,GAB,36.1
United Kingdom,GBR,3.5
Georgia,GEO,10.6
Ghana,GHA,42.8
Guinea,GIN,61
"Gambia, The",GMB,47.9
Guinea-Bissau,GNB,60.3
Equatorial Guinea,GNQ,68.2
Greece,GRC,3.6
Grenada,GRD,10.8
Guatemala,GTM,24.3
Guyana,GUY,32
Honduras,HND,17.4
Heavily indebted poor countries (HIPC),HPC,53.31691043
Croatia,HRV,3.6
Haiti,HTI,52.2
Hungary,HUN,5.3
Indonesia,IDN,22.8
India,IND,37.9
Ireland,IRL,3
"Iran, Islamic Rep.",IRN,13.4
Iraq,IRQ,26.5
Iceland,ISL,1.6
Israel,ISR,3.2
Italy,ITA,2.9
Jamaica,JAM,13.5
Jordan,JOR,15.4
Japan,JPN,2
Kazakhstan,KAZ,12.6
Kenya,KEN,35.5
Kyrgyz Republic,KGZ,19
Cambodia,KHM,24.6
Kiribati,KIR,43.6
St. Kitts and Nevis,KNA,8.4
"Korea, Rep.",KOR,2.9
Kuwait,KWT,7.3
Latin America & Caribbean (developing only),LAC,15.9
Lao PDR,LAO,50.7
Lebanon,LBN,7.1
Liberia,LBR,52.8
Libya,LBY,11.4
St. Lucia,LCA,12.7
Latin America & Caribbean (all income levels),LCN,15.22166694
Least developed countries: UN classification,LDC,51.3884512
Low income,LIC,53.1
Sri Lanka,LKA,8.4
Lower middle income,LMC,40
Low & middle income,LMY,35.2
Lesotho,LSO,69.2
Lithuania,LTU,3.3
Luxembourg,LUX,1.5
Latvia,LVA,6.9
Morocco,MAR,23.7
Monaco,MCO,2.8
Moldova,MDA,13.6
Madagascar,MDG,35.9
Maldives,MDV,7.4
Middle East & North Africa (all income levels),MEA,19.6592789
Mexico,MEX,11.3
Marshall Islands,MHL,29.6
Middle income,MIC,31.2
"Macedonia, FYR",MKD,4.8
Mali,MLI,74.5
Malta,MLT,5.1
Myanmar,MMR,39.5
Middle East & North Africa (developing only),MNA,20.8
Montenegro,MNE,4.3
Mongolia,MNG,19
Mozambique,MOZ,56.7
Mauritania,MRT,65.1
Mauritius,MUS,11.8
Malawi,MWI,43.4
Malaysia,MYS,6
North America,NAC,5.486029559
Namibia,NAM,32.8
Niger,NER,57.1
Nigeria,NGA,69.4
Nicaragua,NIC,18.8
Netherlands,NLD,3.2
High income: nonOECD,NOC,10.18421434
Norway,NOR,2
Nepal,NPL,29.4
New Zealand,NZL,4.7
High income: OECD,OEC,4.10710099
OECD members,OED,5.850804182
Oman,OMN,9.9
Other small states,OSS,45.47886773
Pakistan,PAK,65.8
Panama,PAN,14.6
Peru,PER,13.1
Philippines,PHL,22.2
Palau,PLW,14.2
Papua New Guinea,PNG,44.5
Poland,POL,4.5
"Korea, Dem. Rep.",PRK,19.7
Portugal,PRT,3
Paraguay,PRY,17.5
Pacific island small states,PSS,22.2932575
Qatar,QAT,6.8
Romania,ROU,9.7
Russian Federation,RUS,8.2
Rwanda,RWA,31.1
South Asia,SAS,41.9
Saudi Arabia,SAU,12.5
Sudan,SDN,47.6
Senegal,SEN,41.7
Singapore,SGP,2.1
Solomon Islands,SLB,23.6
Sierra Leone,SLE,87.1
El Salvador,SLV,14.4
San Marino,SMR,2.6
Somalia,SOM,85
Serbia,SRB,5.9
Sub-Saharan Africa (developing only),SSA,56.3
South Sudan,SSD,60.3
Sub-Saharan Africa (all income levels),SSF,56.35347277
Small states,SST,39.56158411
Sao Tome and Principe,STP,34.6
Suriname,SUR,19
Slovak Republic,SVK,5.8
Slovenia,SVN,2.1
Sweden,SWE,2.4
Swaziland,SWZ,44.5
Seychelles,SYC,11.7
Syrian Arab Republic,SYR,11.1
Chad,TCD,85
Togo,TGO,52.3
Thailand,THA,10.5
Tajikistan,TJK,38.5
Turkmenistan,TKM,43.7
Timor-Leste,TLS,44.7
Tonga,TON,14.4
Trinidad and Tobago,TTO,18.2
Tunisia,TUN,12.1
Turkey,TUR,11.6
Tuvalu,TUV,22.8
Tanzania,TZA,35.2
Uganda,UGA,37.7
Ukraine,UKR,7.7
Upper middle income,UMC,15.2
Uruguay,URY,8.7
United States,USA,5.6
Uzbekistan,UZB,33.9
St. Vincent and the Grenadines,VCT,16.6
"Venezuela, RB",VEN,12.9
Vietnam,VNM,17.3
Vanuatu,VUT,23.1
West Bank and Gaza,PSE,18
Samoa,WSM,15
"Yemen, Rep.",YEM,33.8
South Africa,ZAF,33.6
"Congo, Dem. Rep.",COD,74.5
Zambia,ZMB,43.3
Zimbabwe,ZWE,46.6
