country,skilledAttendant,ISO3,LongName,Region
Afghanistan,39,AFG,Islamic State of Afghanistan,South Asia
Albania,99,ALB,Republic of Albania,Europe & Central Asia
Algeria,97,DZA,People's Democratic Republic of Algeria,Middle East & North Africa
Andorra,_,AND,Principality of Andorra,Europe & Central Asia
Angola,47,AGO,People's Republic of Angola,Sub-Saharan Africa
Antigua and Barbuda,100,ATG,Antigua and Barbuda,Latin America & Caribbean
Argentina,98,ARG,Argentine Republic,Latin America & Caribbean
Armenia,100,ARM,Republic of Armenia,Europe & Central Asia
Australia,_,AUS,Commonwealth of Australia,East Asia & Pacific
Austria,_,AUT,Republic of Austria,Europe & Central Asia
Azerbaijan,99,AZE,Republic of Azerbaijan,Europe & Central Asia
Bahamas,99,BHS,Commonwealth of The Bahamas,Latin America & Caribbean
Bahrain,100,BHR,Kingdom of Bahrain,Middle East & North Africa
Bangladesh,34,BGD,People's Republic of Bangladesh,South Asia
Barbados,100,BRB,Barbados,Latin America & Caribbean
Belarus,100,BLR,Republic of Belarus,Europe & Central Asia
Belgium,_,BEL,Kingdom of Belgium,Europe & Central Asia
Belize,96,BLZ,Belize,Latin America & Caribbean
Benin,81,BEN,Republic of Benin,Sub-Saharan Africa
Bhutan,65,BTN,Kingdom of Bhutan,South Asia
Bolivia (Plurinational State of),84,BOL,Plurinational State of Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,100,BIH,Bosnia and Herzegovina,Europe & Central Asia
Botswana,95,BWA,Republic of Botswana,Sub-Saharan Africa
Brazil,98,BRA,Federative Republic of Brazil,Latin America & Caribbean
Brunei Darussalam,100,BRN,Brunei Darussalam,East Asia & Pacific
Bulgaria,100,BGR,Republic of Bulgaria,Europe & Central Asia
Burkina Faso,66,BFA,Burkina Faso,Sub-Saharan Africa
Burundi,60,BDI,Republic of Burundi,Sub-Saharan Africa
Cabo Verde,78,CPV,Republic of Cabo Verde,Sub-Saharan Africa
Cambodia,72,KHM,Kingdom of Cambodia,East Asia & Pacific
Cameroon,64,CMR,Republic of Cameroon,Sub-Saharan Africa
Canada,100,CAN,Canada,North America
Central African Republic ,54,CAF,Central African Republic,Sub-Saharan Africa
Chad,23,TCD,Republic of Chad,Sub-Saharan Africa
Chile,100,CHL,Republic of Chile,Latin America & Caribbean
China,100,CHN,People's Republic of China,East Asia & Pacific
Colombia,99,COL,Republic of Colombia,Latin America & Caribbean
Comoros,82,COM,Union of the Comoros,Sub-Saharan Africa
Congo,93,COG,Republic of Congo,Sub-Saharan Africa
Cook Islands,100,,,
Costa Rica,98,CRI,Republic of Costa Rica,Latin America & Caribbean
C»te d'Ivoire,59,CIV,Republic of C»te d'Ivoire,Sub-Saharan Africa
Croatia,100,HRV,Republic of Croatia,Europe & Central Asia
Cuba,100,CUB,Republic of Cuba,Latin America & Caribbean
Cyprus,_,CYP,Republic of Cyprus,Europe & Central Asia
Czech Republic,100,CZE,Czech Republic,Europe & Central Asia
Democratic People's Republic of Korea,100,PRK,Democratic People's Republic of Korea,East Asia & Pacific
Democratic Republic of the Congo,80,COD,Democratic Republic of the Congo,Sub-Saharan Africa
Denmark,_,DNK,Kingdom of Denmark,Europe & Central Asia
Djibouti,87,DJI,Republic of Djibouti,Middle East & North Africa
Dominica,100,DMA,Commonwealth of Dominica,Latin America & Caribbean
Dominican Republic,99,DOM,Dominican Republic,Latin America & Caribbean
Ecuador,91,ECU,Republic of Ecuador,Latin America & Caribbean
Egypt,79,EGY,Arab Republic of Egypt,Middle East & North Africa
El Salvador,100,SLV,Republic of El Salvador,Latin America & Caribbean
Equatorial Guinea,68,GNQ,Republic of Equatorial Guinea,Sub-Saharan Africa
Eritrea,34,ERI,State of Eritrea,Sub-Saharan Africa
Estonia,100,EST,Republic of Estonia,Europe & Central Asia
Ethiopia,10,ETH,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa
Fiji,100,FJI,Republic of Fiji,East Asia & Pacific
Finland,_,FIN,Republic of Finland,Europe & Central Asia
France,_,FRA,French Republic,Europe & Central Asia
Gabon,89,GAB,Gabonese Republic,Sub-Saharan Africa
Gambia,57,GMB,Republic of The Gambia,Sub-Saharan Africa
Georgia,100,GEO,Georgia,Europe & Central Asia
Germany,_,DEU,Federal Republic of Germany,Europe & Central Asia
Ghana,68,GHA,Republic of Ghana,Sub-Saharan Africa
Greece,_,GRC,Hellenic Republic,Europe & Central Asia
Grenada,99,GRL,Greenland,Europe & Central Asia
Guatemala,52,GTM,Republic of Guatemala,Latin America & Caribbean
Guinea,45,GIN,Republic of Guinea,Sub-Saharan Africa
Guinea-Bissau,43,GNB,Republic of Guinea-Bissau,Sub-Saharan Africa
Guyana,92,GUY,Co-operative Republic of Guyana,Latin America & Caribbean
Haiti,37,HTI,Republic of Haiti,Latin America & Caribbean
Holy See,_,,,
Honduras,83,HND,Republic of Honduras,Latin America & Caribbean
Hungary,99,HUN,Hungary,Europe & Central Asia
Iceland,_,ISL,Republic of Iceland,Europe & Central Asia
India,52,IND,Republic of India,South Asia
Indonesia,83,IDN,Republic of Indonesia,East Asia & Pacific
Iran (Islamic Republic of),96,IRN,Islamic Republic of Iran,Middle East & North Africa
Iraq,91,IRQ,Republic of Iraq,Middle East & North Africa
Ireland,100,IRL,Ireland,Europe & Central Asia
Israel,_,ISR,State of Israel,Middle East & North Africa
Italy,_,ITA,Italian Republic,Europe & Central Asia
Jamaica,99,JAM,Jamaica,Latin America & Caribbean
Japan,_,JPN,Japan,East Asia & Pacific
Jordan,100,JOR,Hashemite Kingdom of Jordan,Middle East & North Africa
Kazakhstan,100,KAZ,Republic of Kazakhstan,Europe & Central Asia
Kenya,44,KEN,Republic of Kenya,Sub-Saharan Africa
Kiribati,80,KIR,Republic of Kiribati,East Asia & Pacific
Kuwait,100,KWT,State of Kuwait,Middle East & North Africa
Kyrgyzstan,99,KGZ,Kyrgyz Republic,Europe & Central Asia
Lao People's Democratic Republic,42,LAO,Lao People's Democratic Republic,East Asia & Pacific
Latvia,100,LVA,Republic of Latvia,Europe & Central Asia
Lebanon,98,LBN,Lebanese Republic,Middle East & North Africa
Lesotho,62,LSO,Kingdom of Lesotho,Sub-Saharan Africa
Liberia,46,LBR,Republic of Liberia,Sub-Saharan Africa
Libya,100,LBY,Socialist People's Libyan Arab Jamahiriya,Middle East & North Africa
Liechtenstein,_,LIE,Principality of Liechtenstein,Europe & Central Asia
Lithuania,100,LTU,Republic of Lithuania,Europe & Central Asia
Luxembourg,100,LUX,Grand Duchy of Luxembourg,Europe & Central Asia
Madagascar,44,MDG,Republic of Madagascar,Sub-Saharan Africa
Malawi,71,MWI,Republic of Malawi,Sub-Saharan Africa
Malaysia,99,MYS,Malaysia,East Asia & Pacific
Maldives,99,MDV,Republic of Maldives,South Asia
Mali,56,MLI,Republic of Mali,Sub-Saharan Africa
Malta,_,MLT,Republic of Malta,Middle East & North Africa
Marshall Islands,99,MHL,Republic of the Marshall Islands,East Asia & Pacific
Mauritania,65,MRT,Islamic Republic of Mauritania,Sub-Saharan Africa
Mauritius,98,MUS,Republic of Mauritius,Sub-Saharan Africa
Mexico,96,MEX,United Mexican States,Latin America & Caribbean
Micronesia (Federated States of),100,FSM,Federated States of Micronesia,East Asia & Pacific
Monaco,_,MCO,Principality of Monaco,Europe & Central Asia
Mongolia,99,MNG,Mongolia,East Asia & Pacific
Montenegro,100,MNE,Montenegro,Europe & Central Asia
Morocco,74,MAR,Kingdom of Morocco,Middle East & North Africa
Mozambique,54,MOZ,Republic of Mozambique,Sub-Saharan Africa
Myanmar,71,MMR,Republic of the Union of Myanmar,East Asia & Pacific
Namibia,81,NAM,Republic of Namibia,Sub-Saharan Africa
Nauru,97,,,
Nepal,36,NPL,Nepal,South Asia
Netherlands,_,NLD,Kingdom of the Netherlands,Europe & Central Asia
New Zealand,_,NZL,New Zealand,East Asia & Pacific
Nicaragua,88,NIC,Republic of Nicaragua,Latin America & Caribbean
Niger,29,NER,Republic of Niger,Sub-Saharan Africa
Nigeria,38,NGA,Federal Republic of Nigeria,Sub-Saharan Africa
Niue,100,,,
Norway,_,NOR,Kingdom of Norway,Europe & Central Asia
