Name,Position,Department,fullname,Level,status,Start_Date,End_Date,Days,Months,Weeks,Description,,
Victoria Lipnic,Chair,EEOC,Equal Employment Opportunity Commission,Non-Cabinet,Acting,1/25/17,8/1/19,905,30.17,129.29,,,
Elaine Chao,Secretary,Transportation,Transportation,Cabinet,Non-Acting,1/31/17,8/1/19,899,29.97,128.43,,,
Betsy DeVos,Secretary,Education,Education,Cabinet,Non-Acting,2/7/17,8/1/19,892,29.73,127.43,,,
Daniel Ragsdale,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,1/20/17,1/30/17,10,0.33,1.43,,,
Thomas Homan,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,1/30/17,6/30/18,,,,,,
Ronald Vitiello,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,6/30/18,4/1/19,,,,,,
Matthew Albence,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,4/1/19,5/28/19,106,3.53,15.14,"after Ronald Vitiello (June 30, 2018 – April 12, 2019), under Vitiello’s leadership, ICE started implementing a policy of ""zero tolerance"".",,
Mark Morgan,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,5/28/19,7/5/19,890,29.67,127.14,,,
Matthew Albence,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,7/5/19,8/1/19,,,,,,
Ann Marie Buerkle,Chairman,CPSC,Consumer Product Safety Commission,Non-Cabinet,Acting,2/9/17,8/1/19,890,29.67,127.14,,,
Steven Mnuchin,Secretary,Treasury,Treasury,Cabinet,Non-Acting,2/13/17,8/1/19,886,29.53,126.57,,,
Wilbur Ross,Secretary,Commerce,Commerce,Cabinet,Non-Acting,2/28/17,8/1/19,871,29.03,124.43,,,
Rick Perry,Secretary,Energy,Energy,Cabinet,Non-Acting,3/2/17,8/1/19,869,28.97,124.14,,,
Dan Coats,Director,National Intelligence,National Intelligence,Cabinet-Level,Non-Acting,3/16/17,8/1/19,855,28.5,122.14,,,
Sonny Perdue,Secretary,Agriculture,Agriculture,Cabinet,Non-Acting,4/25/17,8/1/19,815,27.17,116.43,,,
Robert Lighthizer,Trade Representative,Trade Representative,Trade Representative,Cabinet-Level,Non-Acting,5/15/17,8/1/19,795,26.5,113.57,,,
Loren Sweatt,Director,OSHA,Occupational Safety and Health Administration,Non-Cabinet,Acting,7/24/17,8/1/19,725,24.17,103.57,,,
