County,Inspection_Grade,Inspection Date,Owner_Name,Trade_Name,Street,City,State Code,Zip_Code,Deficiency Number,Deficiency Description,Location 1
Queens,C,8/8/18,POLO FOOD CENTER INC,ASSOCIATED,2218 MOTT AVE,FAR ROCKAWAY,NY,11691,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","2218 MOTT AVE
FAR ROCKAWAY, NY 11691
(40.605455, -73.755833)"
Queens,B,10/24/18,SHOKON INC,BIG B FOODS,58-12 QUEENS BLVD ,WOODSIDE,NY,11377,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","58 12 QUEENS BLVD
WOODSIDE, NY 11377
(40.73759, -73.89594)"
Queens,C,8/8/18,POLO FOOD CENTER INC,ASSOCIATED,2218 MOTT AVE,FAR ROCKAWAY,NY,11691,06B,Potentially hazardous foods are not stored at safe temperatures,"2218 MOTT AVE
FAR ROCKAWAY, NY 11691
(40.605455, -73.755833)"
Queens,C,8/3/18,R&R FOOD STORES INC,R&R FOOD STORES,552 BEACH 25TH ST,FAR ROCKAWAY,NY,11691,06B,Potentially hazardous foods are not stored at safe temperatures,"552 BEACH 25TH ST
FAR ROCKAWAY, NY 11691
(40.599695, -73.76141)"
Rockland,C,8/28/18,MAMADODIYA MAHARAJ INC,TAPPAN MINI MART,366 WESTERN HWY,TAPPAN,NY,10983,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","366 WESTERN HWY
TAPPAN, NY 10983
(41.035056, -73.95238)"
Rockland,C,9/5/18,BEAUMONT CIRCLE INC,NANUET MINI MART,225 S MIDDLETOWN RD,NANUET,NY,10954,06B,Potentially hazardous foods are not stored at safe temperatures,"225 S MIDDLETOWN RD
NANUET, NY 10954
(41.089031, -74.013508)"
Richmond,B,9/20/18,WESTERN BEEF RETAIL INC,WESTERN BEEF 42,425 BAY ST,STATEN ISLAND,NY,10304,06B,Potentially hazardous foods are not stored at safe temperatures,"425 BAY ST
STATEN ISLAND, NY 10304
(40.631863, -74.075953)"
Rockland,C,7/31/18,JENA FOODS LLC,BRAVO SUPERMARKET 139,289 N MAIN ST,SPRING VALLEY,NY,10977,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","289 N MAIN ST
SPRING VALLEY, NY 10977
(41.128797, -74.040932)"
Rockland,C,10/18/18,HARI OM PARTNERS INC,HARI OM PARTNERS,29 SOUTH MAIN STREET,SPRING VALLEY,NY,10977,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","29 SOUTH MAIN STREET
SPRING VALLEY, NY 10977
(41.110216, -74.044723)"
Richmond,C,10/3/18,CASTLETON 5-11 CONVENIENCE INC,5-11 CONVENIENCE,220 PORT RICHMOND AVE,STATEN ISLAND,NY,10302,06B,Potentially hazardous foods are not stored at safe temperatures,"220 PORT RICHMOND AVE
STATEN ISLAND, NY 10302
(40.635834, -74.134893)"
