seq_id,ct10_id,municipal,nhd,county,years,pop,fi_p,unemp_p,pov_p,mhi,aa_p,lat_p,homeown_p,fi_num,snapbelowp,snapabovep,cost_index,short_week,short_year,weightcost,meal_gap,omad_goal,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1,25025110601,Boston,West Roxbury,Suffolk,2015,2946,10.7,9.8,9.6,87426,5,4.7,78.2,320,82.2,17.8,1.212,21.07,201000,3.56,56600,18900,1,2969,1235,0,239,0.0804985,0,0,0,0,1,0,8.1,130924,0,1,0,1,0,0,0,1,0,1492.685362,0,0,235.3651514,0,1492.685362,0.502756942,235.3651514,0.079274217,187.8404553,0.063267247,673.8897171,0.226975317,1333.69686,0.44920743,58.52377999,0.019711613,71.45562058,0.024067235,0.727270901,0.000244955,2.45454178,0.000826723,25.8272659,0.008698978,63.51778343,0.021393662,164.2783772,0.133018929,18.90731909,0.01530957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,520,904,2666,77,132,1,10,83,122,212,33
2,25025130100,Boston,West Roxbury,Suffolk,2015,6517,6.1,2.9,3.3,79844,1.7,3.7,74.2,400,82.2,17.8,1.212,21.07,254000,3.56,71400,23800,1,5906,2668,0,90,0.0152387,0,0,0,0,0,0,3.4,108077,1,1,1,1,1,0,0,0,916.0018362,4390.290196,916.0018362,131.2654054,577.1099508,131.2654054,4390.290196,0.743361022,577.1099508,0.097715874,756.6950612,0.128123106,700.7523041,0.118650915,3635.226261,0.615514098,174.4938255,0.029545179,390.0688537,0.066046199,0,0,4.000000067,0.000677277,186.5012495,0.031578268,203.3013919,0.034422857,94.00206789,0.035233159,97.86406354,0.036680683,916.0018362,0.155096823,131.2654054,0.022225771,116.9895619,0.019808595,88.907606,0.015053777,639.548414,0.108287913,77.91436809,0.013192409,114.7051085,0.019421793,0,0,1.223813284,0.000207215,82.61013214,0.013987493,69.04880826,0.011691298,33.57509115,0.012584367,24.72990367,0.009269079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,1067,926,4949,202,523,0,4,228,265,105,128
3,25025130200,Boston,West Roxbury,Suffolk,2015,5008,7.9,2.9,8.9,100952,2,5.1,62.3,400,82.2,17.8,1.212,21.07,253000,3.56,71000,23700,1,4506,1829,0,85,0.0188637,0,0,0,0,0,0,4.4,112411,0,1,0,1,0,0,0,0,0,865.4314626,0,0,82.61048531,0,865.4314626,0.19206202,82.61048531,0.018333441,177.3573281,0.039360259,134.1545536,0.029772426,797.9417934,0.177084286,16.23349288,0.003602639,38.43292499,0.008529278,0.052164406,1.16E-05,0,0,12.77108611,0.00283424,35.80249196,0.007945515,13.67490227,0.00747671,11.86417746,0.006486702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,884,751,4054,121,210,1,14,106,207,54,62
4,25025130300,Boston,West Roxbury,Suffolk,2015,4680,6.4,7.3,0.2,108472,2.3,5.8,77.8,300,82.2,17.8,1.212,21.07,191000,3.56,53800,17900,1,4419,1756,0,11,0.0024893,0,0,0,0,0,0,0.2,134167,0,1,0,1,0,0,0,0,0,2206.547326,0,0,194.7580658,0,2206.547326,0.499331823,194.7580658,0.044072882,504.5625993,0.114180267,353.1290598,0.079911532,1840.502261,0.416497457,107.8936425,0.02441585,139.7522055,0.031625301,1.056408156,0.00023906,0.798329294,0.000180658,116.5444678,0.026373493,176.0744064,0.039844853,21.73970529,0.012380242,25.71074214,0.014641653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,982,691,3817,170,232,2,3,195,270,37,51
5,25025130402,Boston,West Roxbury,Suffolk,2015,4908,7.8,4.7,7,66394,2,5.8,74.2,380,82.2,17.8,1.212,21.07,245000,3.56,68700,22900,1,4637,2102,0,0,0,0,0,0,0,0,0,5.9,86324,0,1,0,1,0,0,0,0,0,2178.859333,0,0,331.4723354,0,2178.859333,0.469885558,331.4723354,0.071484222,388.8191516,0.083851445,413.0852363,0.089084588,1814.915759,0.391398697,94.12132562,0.020297892,185.1482993,0.039928467,0.022062026,4.76E-06,2.999999955,0.00064697,81.65187938,0.017608773,122.0315873,0.026316926,73.77838145,0.035099135,52.14414048,0.024806917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,860,871,3858,207,389,3,4,176,300,190,117
6,25025130404,Boston,West Roxbury,Suffolk,2015,3337,7,4.7,3.6,72976,8,16.5,59.3,230,82.2,17.8,1.212,21.07,149000,3.56,41900,14000,1,2901,1258,0,175,0.060324,0,0,0,0,1,0,4.5,100781,0,1,0,1,0,0,0,1,0,1779.736194,0,0,212.8406334,0,1779.736194,0.613490587,212.8406334,0.073368023,306.0043375,0.105482364,314.8171779,0.108520227,1311.824765,0.452197437,170.2399489,0.058683195,154.7706497,0.053350793,1,0.000344709,1.166377179,0.00040206,140.734467,0.048512398,231.4766176,0.079792009,102.9335566,0.081823177,72.74252441,0.057823946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,476,706,2226,232,232,1,3,207,349,177,111
7,25025130406,Boston,West Roxbury,Suffolk,2015,5399,18.8,5.7,18.3,41981,48.4,21.8,25.2,1020,82.2,17.8,1.212,21.07,649000,3.56,182200,60700,1,5107,2112,0,58,0.011357,1,1,1,1,1,1,15.5,51114,1,1,1,1,1,0,0,1,1078.917179,4774.693984,1078.917179,438.6181924,2162.189504,438.6181924,4774.693984,0.934931268,2162.189504,0.42337762,1486.405653,0.291052605,561.0595985,0.109860897,1741.695054,0.341040739,2157.046399,0.42237055,220.8792178,0.043250287,0,0,15.35442761,0.003006545,639.718881,0.125263145,1023.002068,0.200313701,452.7271143,0.214359429,533.876256,0.252782318,1078.917179,0.21126242,438.6181924,0.085885685,401.3744181,0.078592994,100.6225927,0.019702877,343.1514411,0.067192371,537.6055979,0.105268376,38.82981282,0.007603253,0,0,2.582184221,0.000505617,156.7481202,0.030692798,267.1493186,0.052310421,80.78432468,0.038250154,104.023904,0.049253742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,1537,627,1931,2230,256,0,18,672,1060,509,602
8,25025020301,Boston,West End,Suffolk,2015,2371,13.5,3,13,114643,3.1,5.3,15.6,320,82.2,17.8,1.212,21.07,205000,3.56,57500,19200,1,2023,1250,0,113,0.0558576,0,0,0,0,0,0,11.9,116071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,117,344,1485,54,417,0,2,65,108,717,107
9,25025020303,Boston,West End,Suffolk,2015,3574,16.8,10.2,19.8,81607,9.2,16.4,27.2,600,82.2,17.8,1.212,21.07,384000,3.56,107800,35900,1,3400,1632,0,831,0.2444118,0,0,0,0,0,0,18.5,120776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,228,351,2364,575,331,1,6,123,373,761,51
10,25025070402,Boston,South End,Suffolk,2015,1700,30.5,13.9,42.7,15848,10.4,4.6,0,520,82.2,17.8,1.212,21.07,331000,3.56,93100,31000,1,1723,666,0,97,0.0562972,0,0,0,0,0,1,53.8,21806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,365,439,154,239,1206,0,2,122,158,401,335
